date,address,species,block,street,trap,address_number_and_street,latitude,longitude,address_accuracy,num_mosquitos,wnv_present,year,month,day,week,day_of_week,coordinates,tmax_1,tmin_1,tavg_1,depart_1,dew_point_1,wet_bulb_1,sunrise_1,sunset_1,precip_total_1,stn_pressure_1,sea_level_1,result_speed_1,result_dir_1,avg_speed_1,heat_cool_1,normal_1,tmax_2,tmin_2,tavg_2,depart_2,dew_point_2,wet_bulb_2,sunrise_2,sunset_2,precip_total_2,stn_pressure_2,sea_level_2,result_speed_2,result_dir_2,avg_speed_2,heat_cool_2,normal_2,BR_1,DZ_1,FG_1,HZ_1,MD_1,RA_1,TS_1,TSRA_1,VCTS_1,BR_2,DZ_2,FG_2,HZ_2,MD_2,RA_2,TS_2,TSRA_2,VCTS_2
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,2007,5,29,22,1,"(41.921965, -87.632085)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,2007,5,29,22,1,"(41.921965, -87.632085)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2007,5,29,22,1,"(41.688324, -87.676709)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2007,5,29,22,1,"(41.688324, -87.676709)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,2007,5,29,22,1,"(41.862292, -87.64886)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,2007,5,29,22,1,"(41.720848, -87.666014)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,2007,5,29,22,1,"(41.731922, -87.677512)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,2007,5,29,22,1,"(41.731922, -87.677512)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,2007,5,29,22,1,"(41.891126, -87.61156)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,2007,5,29,22,1,"(41.891126, -87.61156)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,2007,5,29,22,1,"(41.999129, -87.795585)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,2007,5,29,22,1,"(42.01743, -87.687769)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,2007,5,29,22,1,"(41.907645, -87.760886)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,2007,5,29,22,1,"(41.732984, -87.649642)",88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,2007,6,5,23,1,"(41.95469, -87.800991)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,2007,6,5,23,1,"(41.95469, -87.800991)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,6,5,23,1,"(41.95469, -87.800991)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,2007,6,5,23,1,"(41.974089, -87.824812)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,2,0,2007,6,5,23,1,"(41.974089, -87.824812)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,2007,6,5,23,1,"(41.9216, -87.666455)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2007,6,5,23,1,"(41.9216, -87.666455)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,2007,6,5,23,1,"(41.9216, -87.666455)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,2007,6,5,23,1,"(41.891118, -87.654491)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2007,6,5,23,1,"(41.867108, -87.654224)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2007,6,5,23,1,"(41.867108, -87.654224)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2007,6,5,23,1,"(41.867108, -87.654224)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,0,2007,6,5,23,1,"(41.896282, -87.655232)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,2007,6,5,23,1,"(41.919343, -87.694259)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,2007,6,5,23,1,"(41.919343, -87.694259)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,2007,6,5,23,1,"(41.921965, -87.632085)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,4,0,2007,6,5,23,1,"(41.688324, -87.676709)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,2,0,2007,6,5,23,1,"(41.720848, -87.666014)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,2007,6,5,23,1,"(41.731922, -87.677512)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,2007,6,5,23,1,"(41.731922, -87.677512)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,2007,6,5,23,1,"(41.731922, -87.677512)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,2,0,2007,6,5,23,1,"(41.999129, -87.795585)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,9,0,2007,6,5,23,1,"(41.999129, -87.795585)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,3,0,2007,6,5,23,1,"(41.907645, -87.760886)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,2007,6,5,23,1,"(41.732984, -87.649642)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,91, W HIGGINS AVE,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964000000005,-87.812827,8,2,0,2007,6,5,23,1,"(41.981964, -87.812827)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,36, N PITTSBURGH AVE,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,1,0,2007,6,5,23,1,"(41.944869, -87.832763)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2007-06-05,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8,1,0,2007,6,5,23,1,"(42.011601, -87.811506)",64,47,56,-9,48,51,417,2000,0.42,29.1,29.79,5.2,5,7.6,9,65,63,51,57,-10,47,52,417,2000,0.27,29.16,29.78,6.2,3,8.1,8,67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
